times,wx (rad/s),wy (rad/s),wz (rad/s),GaitPhase
9.453,-0.01,-0.27,0.017558847785479,step
9.456,-0.01,-0.27,0.016808982710779,step
9.459,-0.02,-0.26,0.016082048831145,step
9.462,-0.02,-0.25,0.015374854264354,step
9.462,-0.02,-0.24,0.014683751155833,step
9.465,-0.02,-0.24,0.014004630504423,step
9.468,-0.01,-0.24,0.013332919352244,step
9.472,0,-0.24,0.012663580462474,step
9.475,0,-0.25,0.011991114593542,step
9.475,0.01,-0.25,0.011309565461437,step
9.477,0.01,-0.26,0.010612527464089,step
9.48,0.02,-0.26,0.009893156223181,step
9.483,0.02,-0.26,0.009144181979333,step
9.486,0.02,-0.26,0.00835792585628,step
9.488,0.02,-0.26,0.007526318988446,step
9.49,0.01,-0.26,0.006640924484485,step
9.492,0,-0.25,0.005692962176824,step
9.496,-0.01,-0.25,0.004673336084326,step
9.498,-0.02,-0.24,0.003572664492114,step
9.499,-0.03,-0.23,0.002381312530083,step
9.501,-0.04,-0.23,0.001089427109978,step
9.504,-0.04,-0.23,-0.000313025939577,step
9.511,-0.05,-0.22,-0.001836222719811,step
9.512,-0.05,-0.23,-0.003490440287175,step
9.512,-0.05,-0.23,-0.005286014068972,step
9.52,-0.04,-0.23,-0.007233293892956,step
9.521,-0.04,-0.23,-0.009342598863945,step
9.522,-0.03,-0.23,-0.011624171327282,step
9.522,-0.03,-0.24,-0.014088130163508,step
9.523,-0.02,-0.24,-0.016744423661236,step
9.537,-0.01,-0.24,-0.019602782216307,step
9.539,0,-0.24,-0.022672671105149,step
9.539,0,-0.24,-0.025963243579056,step
9.54,0.01,-0.23,-0.029483294523858,step
9.54,0.02,-0.23,-0.033241214926437,step
9.54,0.02,-0.23,-0.037244947385929,step
9.541,0.03,-0.23,-0.041501942903633,step
9.544,0.04,-0.23,-0.046019119181715,step
9.545,0.05,-0.22,-0.050802820656974,step
9.548,0.05,-0.22,-0.055858780492216,step
9.549,0.06,-0.21,-0.061192084743943,step
9.554,0.06,-0.2,-0.066807138920724,step
9.559,0.06,-0.19,-0.072707637141309,step
9.56,0.06,-0.18,-0.078896534094828,step
9.56,0.06,-0.17,-0.085376019996866,step
9.562,0.06,-0.17,-0.0921474987246,step
9.565,0.06,-0.16,-0.099211569301556,step
9.568,0.06,-0.17,-0.106568010887862,step
9.57,0.06,-0.17,-0.114215771414989,step
9.574,0.06,-0.17,-0.122152959984809,step
9.574,0.05,-0.18,-0.130376843131313,step
9.576,0.05,-0.18,-0.138883845019877,step
9.58,0.05,-0.19,-0.14766955163358,step
9.582,0.05,-0.2,-0.156728718969066,step
9.583,0.04,-0.2,-0.166055285236032,step
9.585,0.04,-0.2,-0.175642387024975,step
9.591,0.04,-0.2,-0.185482379377632,step
9.593,0.04,-0.2,-0.195566859664006,step
9.594,0.03,-0.2,-0.20588669513928,step
9.596,0.03,-0.2,-0.216432054023718,step
9.598,0.04,-0.21,-0.227192439919363,step
9.6,0.04,-0.21,-0.238156729349594,step
9.604,0.04,-0.21,-0.249313212181946,step
9.611,0.04,-0.21,-0.26064963467143,step
9.612,0.04,-0.21,-0.272153244841262,step
9.612,0.04,-0.22,-0.283810839900766,step
9.612,0.04,-0.22,-0.295608815386315,step
9.616,0.04,-0.22,-0.307533215700657,step
9.619,0.04,-0.22,-0.31956978571868,step
9.62,0.04,-0.21,-0.331704023123689,step
9.633,0.04,-0.22,-0.343921231137482,step
9.634,0.05,-0.21,-0.356206571309975,step
9.635,0.05,-0.21,-0.368545116039989,step
9.635,0.05,-0.2,-0.380921900508104,step
9.635,0.06,-0.19,-0.393321973715331,step
9.636,0.06,-0.19,-0.405730448337667,step
9.637,0.06,-0.18,-0.418132549126335,step
9.643,0.06,-0.18,-0.43051365960629,step
9.644,0.06,-0.18,-0.442859366850753,step
9.644,0.07,-0.18,-0.455155504136301,step
9.646,0.07,-0.19,-0.467388191310604,step
9.649,0.07,-0.2,-0.479543872732695,step
9.652,0.08,-0.21,-0.491609352672964,step
9.654,0.08,-0.21,-0.503571828086385,step
9.658,0.08,-0.22,-0.515418918697866,step
9.659,0.09,-0.23,-0.52713869436316,step
9.66,0.1,-0.22,-0.538719699692699,step
9.664,0.11,-0.22,-0.550150975948851,step
9.666,0.12,-0.21,-0.561422080249197,step
9.669,0.13,-0.19,-0.572523102129187,step
9.671,0.14,-0.17,-0.583444677536809,step
9.675,0.15,-0.15,-0.59417800034984,step
9.676,0.15,-0.13,-0.604714831523011,step
9.678,0.17,-0.11,-0.615047505988091,step
9.68,0.18,-0.09,-0.6251689374446,step
9.682,0.19,-0.07,-0.635072621192876,step
9.684,0.2,-0.05,-0.644752635174793,step
9.69,0.2,-0.04,-0.654203639400783,step
9.692,0.21,-0.03,-0.663420873954779,step
9.692,0.21,-0.01,-0.672400155780777,step
9.694,0.21,0,-0.681137874465258,step
9.697,0.22,0.02,-0.689630987237937,step
9.7,0.23,0.04,-0.697877013418502,step
9.702,0.24,0.06,-0.705874028538452,step
9.704,0.25,0.08,-0.713620658364441,step
9.708,0.26,0.09,-0.721116073042396,step
9.709,0.27,0.11,-0.728359981570515,step
9.712,0.28,0.12,-0.735352626794168,step
9.714,0.28,0.14,-0.742094781097479,step
9.716,0.29,0.15,-0.748587742945191,step
9.718,0.3,0.17,-0.754833334404883,step
9.721,0.31,0.18,-0.760833899754111,step
9.727,0.32,0.18,-0.766592305249897,step
9.728,0.32,0.18,-0.772111940109537,step
9.729,0.33,0.19,-0.777396718722327,step
9.73,0.33,0.18,-0.782451084082005,step
9.733,0.34,0.18,-0.787280012399895,step
9.736,0.35,0.17,-0.79188901882936,step
9.74,0.36,0.15,-0.796284164203436,step
9.741,0.37,0.12,-0.800472062659679,step
9.742,0.39,0.09,-0.804459889999614,step
9.746,0.41,0.07,-0.808255392605335,step
9.749,0.43,0.04,-0.811866896713447,step
9.751,0.45,0.02,-0.815303317827391,step
9.752,0.47,-0.01,-0.818574170033586,step
9.754,0.48,-0.03,-0.82168957497508,step
9.757,0.5,-0.05,-0.824660270228281,step
9.76,0.52,-0.07,-0.827497616823806,step
9.764,0.53,-0.08,-0.830213605651181,step
9.765,0.54,-0.09,-0.832820862489134,step
9.767,0.55,-0.1,-0.835332651408135,step
9.77,0.56,-0.11,-0.837762876299388,step
9.772,0.57,-0.12,-0.840126080294051,step
9.776,0.58,-0.13,-0.842437442847918,step
9.776,0.59,-0.12,-0.844712774279741,step
9.779,0.6,-0.12,-0.846968507565682,step
9.782,0.61,-0.11,-0.849221687207751,step
9.785,0.62,-0.1,-0.851489955010571,step
9.788,0.62,-0.09,-0.853791532618227,step
9.788,0.63,-0.08,-0.85614520068133,step
9.791,0.64,-0.08,-0.858570274543527,step
9.793,0.66,-0.08,-0.861086576356786,step
9.798,0.67,-0.09,-0.863714403556141,step
9.8,0.68,-0.11,-0.866474493647478,step
9.8,0.68,-0.14,-0.869387985286666,step
9.803,0.69,-0.16,-0.872476375654693,step
9.807,0.69,-0.19,-0.875761474161465,step
9.809,0.69,-0.21,-0.879265352539912,step
9.812,0.68,-0.25,-0.883010291421784,step
9.812,0.68,-0.26,-0.887018723516156,step
9.815,0.68,-0.28,-0.891313173540534,step
9.818,0.68,-0.3,-0.895916195081739,step
9.822,0.68,-0.31,-0.900850304588812,step
