time,wx (rad/s),wy (rad/s),wz (rad/s)
9.453,-0.01,-0.27,-0.01
9.456,-0.01,-0.27,-0.02
9.459,-0.02,-0.26,-0.03
9.462,-0.02,-0.25,-0.04
9.462,-0.02,-0.24,-0.05
9.465,-0.02,-0.24,-0.06
9.468,-0.01,-0.24,-0.06
9.472,0,-0.24,-0.06
9.475,0,-0.25,-0.07
9.475,0.01,-0.25,-0.07
9.477,0.01,-0.26,-0.08
9.48,0.02,-0.26,-0.08
9.483,0.02,-0.26,-0.08
9.486,0.02,-0.26,-0.09
9.488,0.02,-0.26,-0.09
9.49,0.01,-0.26,-0.09
9.492,0,-0.25,-0.08
9.496,-0.01,-0.25,-0.08
9.498,-0.02,-0.24,-0.08
9.499,-0.03,-0.23,-0.07
9.501,-0.04,-0.23,-0.06
9.504,-0.04,-0.23,-0.05
9.511,-0.05,-0.22,-0.04
9.512,-0.05,-0.23,-0.03
9.512,-0.05,-0.23,-0.02
9.52,-0.04,-0.23,-0.02
9.521,-0.04,-0.23,-0.01
9.522,-0.03,-0.23,-0.01
9.522,-0.03,-0.24,-0.01
9.523,-0.02,-0.24,-0.01
9.537,-0.01,-0.24,0
9.539,0,-0.24,-0.01
9.539,0,-0.24,-0.01
9.54,0.01,-0.23,-0.01
9.54,0.02,-0.23,-0.02
9.54,0.02,-0.23,-0.02
9.541,0.03,-0.23,-0.03
9.544,0.04,-0.23,-0.03
9.545,0.05,-0.22,-0.03
9.548,0.05,-0.22,-0.03
9.549,0.06,-0.21,-0.03
9.554,0.06,-0.2,-0.02
9.559,0.06,-0.19,-0.02
9.56,0.06,-0.18,-0.02
9.56,0.06,-0.17,-0.02
9.562,0.06,-0.17,-0.01
9.565,0.06,-0.16,-0.01
9.568,0.06,-0.17,-0.01
9.57,0.06,-0.17,-0.01
9.574,0.06,-0.17,-0.01
9.574,0.05,-0.18,-0.01
9.576,0.05,-0.18,-0.02
9.58,0.05,-0.19,-0.02
9.582,0.05,-0.2,-0.03
9.583,0.04,-0.2,-0.04
9.585,0.04,-0.2,-0.05
9.591,0.04,-0.2,-0.06
9.593,0.04,-0.2,-0.08
9.594,0.03,-0.2,-0.1
9.596,0.03,-0.2,-0.12
9.598,0.04,-0.21,-0.14
9.6,0.04,-0.21,-0.17
9.604,0.04,-0.21,-0.19
9.611,0.04,-0.21,-0.22
9.612,0.04,-0.21,-0.24
9.612,0.04,-0.22,-0.27
9.612,0.04,-0.22,-0.29
9.616,0.04,-0.22,-0.32
9.619,0.04,-0.22,-0.34
9.62,0.04,-0.21,-0.37
9.633,0.04,-0.22,-0.4
9.634,0.05,-0.21,-0.42
9.635,0.05,-0.21,-0.45
9.635,0.05,-0.2,-0.48
9.635,0.06,-0.19,-0.5
9.636,0.06,-0.19,-0.52
9.637,0.06,-0.18,-0.53
9.643,0.06,-0.18,-0.55
9.644,0.06,-0.18,-0.56
9.644,0.07,-0.18,-0.56
9.646,0.07,-0.19,-0.57
9.649,0.07,-0.2,-0.58
9.652,0.08,-0.21,-0.59
9.654,0.08,-0.21,-0.6
9.658,0.08,-0.22,-0.61
9.659,0.09,-0.23,-0.61
9.66,0.1,-0.22,-0.62
9.664,0.11,-0.22,-0.62
9.666,0.12,-0.21,-0.63
9.669,0.13,-0.19,-0.64
9.671,0.14,-0.17,-0.64
9.675,0.15,-0.15,-0.65
9.676,0.15,-0.13,-0.66
